,Global Company Key,S&P Domestic Long Term Issuer Credit Rating,Data Date,Company Name,Ticker Symbol,Shillers Cyclically Adjusted P/E Ratio,Book/Market,Enterprise Value Multiple,"Price/Operating Earnings (Basic, Excl. EI)","Price/Operating Earnings (Diluted, Excl. EI)","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)",Price/Sales,Price/Cash flow,Dividend Payout Ratio,Net Profit Margin,Operating Profit Margin Before Depreciation,Operating Profit Margin After Depreciation,Gross Profit Margin,Pre-tax Profit Margin,Cash Flow Margin,Return on Assets,Return on Equity,Return on Capital Employed,Effective Tax Rate,After-tax Return on Average Common Equity,After-tax Return on Invested Capital,After-tax Return on Total Stockholders Equity,Gross Profit/Total Assets,Common Equity/Invested Capital,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Capitalization Ratio,Cash Balance/Total Liabilities,Total Debt/Total Assets,Total Debt/EBITDA,Short-Term Debt/Total Debt,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Free Cash Flow/Operating Cash Flow,Total Liabilities/Total Tangible Assets,Long-term Debt/Book Equity,Total Debt/Total Assets.1,Total Debt/Capital,Total Debt/Equity,Asset Turnover,Receivables Turnover,Payables Turnover,Sales/Invested Capital,Sales/Stockholders Equity,Research and Development/Sales,Avertising Expenses/Sales,Labor Expenses/Sales,Accruals/Average Assets,Price/Book,Dividend Yield
0,1447,A+,20040229,AMERICAN EXPRESS CO,AXP,27.958,0.247,20.164,22.829,23.126,23.126,23.226,2.581,27.026,0.165,0.113,0.19,0.164,0.19,0.16,0.138,0.03,0.206,0.082,0.294,0.206,0.14,0.206,0.029,0.471,0.529,1.221,0.529,0.054,0.227,7.877,0.567,0.108,0.016,0.598,50.15,1.123,0.912,0.829,10.421,0.16,0.414,0.639,0.817,1.735,0,0,0.238,-0.003,4.476,0.00749
1,1447,A+,20040331,AMERICAN EXPRESS CO,AXP,27.264,0.247,20.164,22.158,22.446,22.446,22.543,2.517,26.356,0.165,0.113,0.19,0.164,0.19,0.16,0.138,0.03,0.206,0.082,0.294,0.206,0.14,0.206,0.029,0.471,0.529,1.221,0.529,0.054,0.227,7.877,0.567,0.108,0.016,0.598,50.15,1.123,0.912,0.829,10.421,0.16,0.414,0.639,0.817,1.735,0,0,0.238,-0.003,4.365,0.00771
2,1447,A+,20040430,AMERICAN EXPRESS CO,AXP,25.74,0.247,20.164,20.919,21.19,21.19,21.283,2.376,24.882,0.165,0.113,0.19,0.164,0.19,0.16,0.138,0.03,0.206,0.082,0.294,0.206,0.14,0.206,0.029,0.471,0.529,1.221,0.529,0.054,0.227,7.877,0.567,0.108,0.016,0.598,50.15,1.123,0.912,0.829,10.421,0.16,0.414,0.639,0.817,1.735,0,0,0.238,-0.003,4.121,0.00817
3,1447,A+,20040531,AMERICAN EXPRESS CO,AXP,26.623,0.237,20.164,20.444,20.779,20.779,21.303,2.36,11.186,0.155,0.116,0.183,0.164,0.183,0.164,0.138,0.031,0.216,0.089,0.294,0.216,0,0.216,0.03,0.439,0.561,1.074,0.561,0.042,0.219,7.877,0.477,0.125,0.016,0.827,49.424,1.28,0.911,0.825,10.197,0.162,0.433,0.666,0.798,1.819,0,0,0.238,0.016,4.118,0.00789
4,1447,A+,20040630,AMERICAN EXPRESS CO,AXP,26.98,0.237,20.164,20.718,21.057,21.057,21.588,2.392,11.336,0.155,0.116,0.183,0.164,0.183,0.164,0.138,0.031,0.216,0.089,0.294,0.216,0,0.216,0.03,0.439,0.561,1.074,0.561,0.042,0.219,7.877,0.477,0.125,0.016,0.827,49.424,1.28,0.911,0.825,10.197,0.162,0.433,0.666,0.798,1.819,0,0,0.238,0.016,4.173,0.00779
5,1447,A+,20040731,AMERICAN EXPRESS CO,AXP,26.179,0.237,20.164,20.262,20.594,20.594,21.113,2.321,10.999,0.155,0.116,0.183,0.164,0.183,0.164,0.138,0.031,0.216,0.089,0.294,0.216,0,0.216,0.03,0.439,0.561,1.074,0.561,0.042,0.219,7.877,0.477,0.125,0.016,0.827,49.424,1.28,0.911,0.825,10.197,0.162,0.433,0.666,0.798,1.819,0,0,0.238,0.016,4.049,0.00796
6,1447,A+,20040831,AMERICAN EXPRESS CO,AXP,25.775,0.233,20.164,22.231,22.736,22.736,20.251,2.559,10.028,0.18,0.115,0.177,0.163,0.177,0.163,0.138,0.026,0.19,0.078,0.294,0.19,0,0.19,0.025,0.423,0.577,1.067,0.577,0.04,0.221,7.877,0.459,0.131,0.016,0.836,50.529,1.362,0.912,0.829,10.405,0.142,0.378,0.582,0.687,1.624,0,0,0.238,0.02,4.184,0.008
7,1447,A+,20040930,AMERICAN EXPRESS CO,AXP,26.518,0.233,20.164,22.871,23.391,23.391,20.834,2.632,10.316,0.18,0.115,0.177,0.163,0.177,0.163,0.138,0.026,0.19,0.078,0.294,0.19,0,0.19,0.025,0.423,0.577,1.067,0.577,0.04,0.221,7.877,0.459,0.131,0.016,0.836,50.529,1.362,0.912,0.829,10.405,0.142,0.378,0.582,0.687,1.624,0,0,0.238,0.02,4.304,0.00777
8,1447,A+,20041031,AMERICAN EXPRESS CO,AXP,27.347,0.233,20.164,23.587,24.123,24.123,21.486,2.715,10.639,0.18,0.115,0.177,0.163,0.177,0.163,0.138,0.026,0.19,0.078,0.294,0.19,0,0.19,0.025,0.423,0.577,1.067,0.577,0.04,0.221,7.877,0.459,0.131,0.016,0.836,50.529,1.362,0.912,0.829,10.405,0.142,0.378,0.582,0.687,1.624,0,0,0.238,0.02,4.439,0.00904
9,1447,A+,20041130,AMERICAN EXPRESS CO,AXP,28.196,0.245,20.164,25.208,25.792,25.792,21.677,2.928,8.647,0.183,0.117,0.176,0.168,0.176,0.168,0.138,0.024,0.183,0.074,0.294,0.183,0,0.183,0.024,0.395,0.605,1.022,0.605,0.042,0.226,7.877,0.408,0.147,0.016,0.897,51.499,1.534,0.913,0.83,10.467,0.134,0.358,0.554,0.607,1.539,0,0,0.238,0.03,4.415,0.00862
