Date,BID,BIDStrike,ASK,ASKStrike,StrikeSpread,Close,payoff,profit
2019-11-09,2.65,3135.0,7.25,3125.0,-10.0,3090.5,0.5,-0.14999999999999997
2019-11-12,5.0,3160.0,10.0,3150.0,-10.0,3092.0,2.0,2.0
2019-11-14,8.25,3185.0,13.75,3175.0,-10.0,3097.0,7.0,9.75
2019-11-16,9.25,3230.0,16.75,3220.0,-10.0,3118.25,23.25,18.7
2019-11-19,11.0,3230.0,18.75,3220.0,-10.0,3118.5,23.5,19.25
2019-11-21,12.0,3230.0,22.0,3220.0,-10.0,3104.0,14.0,16.0
2019-11-23,14.5,3230.0,24.75,3220.0,-10.0,3111.5,21.5,22.75
2019-11-26,14.0,3230.0,26.5,3220.0,-10.0,3143.75,28.75,25.5
2019-11-28,16.25,3230.0,29.0,3220.0,-10.0,3153.75,33.75,29.5
2019-11-30,17.25,3230.0,30.25,3220.0,-10.0,3143.75,33.75,29.5
2019-12-03,16.75,3230.0,31.75,3220.0,-10.0,3091.0,1.0,5.0
2019-12-05,19.0,3230.0,34.5,3220.0,-10.0,3116.75,26.75,30.25
