Date,BID,BIDStrike,ASK,ASKStrike,StrikeSpread,Close,payoff,profit
2019-11-09,1.7,3075.0,2.65,3080.0,100.0,3090.5,0.0,0.75
2019-11-12,3.7,3075.0,5.25,3080.0,140.0,3092.0,0.0,2.1500000000000004
2019-11-14,6.75,3075.0,8.75,3080.0,130.0,3097.0,0.0,4.75
2019-11-16,7.25,3065.0,11.75,3080.0,115.0,3118.25,0.0,4.75
2019-11-19,9.25,3065.0,13.75,3080.0,110.0,3118.5,0.0,5.0
2019-11-21,10.0,3055.0,16.75,3080.0,100.0,3104.0,0.0,5.0
2019-11-23,11.5,3050.0,19.75,3080.0,95.0,3111.5,0.0,5.0
2019-11-26,13.0,3050.0,21.25,3080.0,95.0,3143.75,0.0,5.0
2019-11-28,14.25,3045.0,24.0,3080.0,95.0,3153.75,0.0,5.0
2019-11-30,14.5,3040.0,25.0,3080.0,95.0,3143.75,0.0,5.0
2019-12-03,15.75,3040.0,26.75,3080.0,95.0,3091.0,0.0,5.0
2019-12-05,17.25,3035.0,29.5,3080.0,95.0,3116.75,0.0,5.0
