,INTPTLAT10,INTPTLON10
0,41.318301,-83.6174935
1,41.5157923,-82.9809454
2,41.6468445,-82.8226641
3,41.2673266,-83.4274645
4,41.5304461,-83.2133648
5,41.601192,-83.5649985
6,41.283785,-83.7228646
7,41.508665,-83.5080344
8,41.4048795,-82.9241092
9,41.5654721,-83.500302
10,41.2953588,-83.5148215
11,41.2432028,-83.483841
12,41.5978668,-83.3414931
13,45.3543012,-117.75647
14,44.3851264,-119.496273
15,45.6642964,-119.2323162
16,45.5754239,-117.8380496
17,45.7165633,-117.2219918
18,44.9665611,-120.1831619
19,44.9288884,-118.0148778
20,44.9722752,-117.1611907
21,45.9100468,-118.7865512
22,45.3211522,-119.4746198
23,44.5566606,-118.067106
24,45.853004,-119.2872655
25,45.5912086,-119.5929843
26,44.8560993,-116.9412302
27,45.4651158,-117.9449249
28,45.4235915,-116.6840285
29,45.5023217,-119.9028655
30,45.8841501,-119.5488363
31,44.4018235,-118.9030596
32,45.4626986,-117.0395863
33,44.7221766,-119.5805545
34,45.3035379,-118.1132779
35,44.8152119,-119.1252546
36,45.3592307,-117.5232469
37,45.5267188,-118.4214554
38,45.9220632,-118.3160627
39,44.805447,-119.4360525
40,44.4614657,-119.1800399
41,45.0780372,-117.993416
42,45.409294,-118.8535816
43,44.3975633,-118.6339795
44,44.7879893,-117.1865631
45,44.1320132,-119.0028841
46,44.7775388,-119.8677075
47,45.8185492,-119.1328535
48,45.5164578,-118.0355249
49,44.7117088,-118.4104284
50,45.0886688,-118.8825062
51,45.8974306,-119.3660707
52,45.1924234,-117.6341548
53,37.7800933,-122.4626054
54,37.7767691,-122.4947073
55,37.7587992,-122.4851269
56,37.8009336,-122.4383664
57,37.7288947,-122.3827787
58,37.7362198,-122.459338
59,37.6264115,-122.3857566
60,37.7973402,-122.4644664
61,37.8206567,-122.3696475
62,37.7459165,-122.4414731
63,37.7222142,-122.4840831
64,30.4039945,-88.9661326
65,37.5386369,-87.6929336
66,37.2785392,-87.5117711
67,43.7915009,-83.24562
68,37.1982925,-88.0108129
69,37.4486563,-87.4670006
70,44.2337465,-83.9733794
71,43.4698587,-83.6763108
72,30.4930848,-88.9643175
73,30.4077351,-88.9246855
74,43.7304776,-83.3859038
75,30.4431017,-88.8972376
76,43.3230508,-83.255006
77,44.5109236,-83.8917098
78,44.8216604,-83.4616203
79,30.4107971,-88.6449967
80,37.8106078,-87.5150036
81,30.4415296,-89.4399718
82,44.2550899,-83.6149014
83,44.1515564,-83.7179524
84,44.105722,-83.8393919
85,30.3763526,-89.1727305
86,43.650518,-83.4631542
87,30.702516,-89.1548832
88,37.3344734,-87.4813868
89,37.3739497,-87.575537
90,43.3708306,-83.5775391
91,44.2511832,-83.8141843
92,30.5466824,-88.4894517
93,37.6666566,-87.9380705
94,38.5918967,-121.408467
95,38.5437535,-121.3776924
96,38.5561199,-121.3242596
97,38.4887898,-121.3958378
98,38.489546,-121.323452
99,38.4905076,-121.2841712
100,38.4939658,-121.529188
101,38.4470502,-121.4961141
102,38.6190486,-121.5175516
103,27.7228601,-82.3569228
104,35.3088425,-84.9315118
105,28.3357346,-82.3378312
106,35.787056,-84.8506641
107,35.4297867,-85.2095188
108,35.3799587,-85.6342303
109,35.0340631,-85.5175194
110,27.8622004,-82.3500444
111,35.2241762,-85.0732942
112,27.7962306,-82.293653
113,35.3919677,-85.9479998
114,28.0054554,-82.294337
115,28.7308721,-82.0860563
116,28.1018705,-82.2832358
117,35.1666685,-85.2122799
118,35.0168069,-86.2030198
119,27.9409344,-82.2424794
120,27.8872147,-82.22587
121,35.0634681,-85.6134179
122,35.1316145,-86.434051
123,34.9939205,-85.350184
124,40.1078904,-88.2442663
125,42.734536,-87.8648925
126,42.6062097,-89.0654992
127,42.7304062,-89.4380687
128,43.1429758,-89.9575065
129,40.1096457,-88.2749032
130,42.7035159,-89.860349
131,42.6610738,-88.8208971
132,43.1648264,-90.286429
133,42.9842831,-89.9138764
134,42.8661878,-89.5755816
135,40.136481,-88.305307
136,42.7453556,-90.3052377
137,40.0330783,-88.7165082
138,40.2250902,-87.7920697
139,42.5539949,-89.0944443
140,43.1150041,-89.7393383
141,42.7969854,-89.8734564
142,43.0569828,-89.8323294
143,40.1362337,-87.6364661
144,43.240989,-90.5951299
145,40.0997467,-87.6442201
146,42.5968217,-89.3527363
147,42.8381054,-89.4003023
148,40.1525459,-87.6732983
149,42.5569093,-89.7834898
150,40.1377167,-88.6291664
151,40.2988731,-88.3002628
152,42.984409,-89.0288391
153,40.0205942,-87.8168712
154,42.5445335,-88.8586547
155,42.2993878,-71.274242
156,42.3535846,-71.1881919
157,42.3147789,-71.1920167
158,42.351824,-71.2084904
159,42.3173616,-71.2065077
160,42.3287076,-71.2559002
161,42.3129751,-71.2188818
162,42.3489119,-71.22633
163,42.3444566,-71.2486166
164,42.3143213,-71.1527779
165,42.328553,-71.2295297
166,42.3694508,-71.1779249
167,42.4209494,-71.1563695
